timestamp,text,developer,model,persona,temperature,trial,Q1value,Q2value,Q3value,Q4value
2025/5/1 14:20,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,1,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,2,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,3,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,4,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,5,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,6,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,7,85.0,20.0,10.0,0.0
2025/5/1 14:21,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,8,85.0,20.0,10.0,0.0
2025/5/1 14:22,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,9,85.0,20.0,10.0,0.0
2025/5/1 14:22,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p1,0.7,10,85.0,20.0,10.0,0.0
2025/5/1 14:26,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,1,85.0,20.0,10.0,0.0
2025/5/1 14:26,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,2,85.0,20.0,10.0,0.0
2025/5/1 14:26,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,3,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,4,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,5,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,6,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,7,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,8,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,9,85.0,20.0,10.0,0.0
2025/5/1 14:27,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p2,0.4,10,85.0,20.0,10.0,0.0
2025/5/1 14:31,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p3,0.9,1,85.0,20.0,10.0,0.0
2025/5/1 14:31,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p3,0.9,2,85.0,20.0,10.0,0.0
2025/5/1 14:31,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p3,0.9,3,85.0,20.0,10.0,0.0
2025/5/1 14:32,t1,Alibaba,Qwen2.5-VL-7B-Instruct,p3,0.9,4,85.0,10.0,0.0,0.0
